Week,diet: (All world)
2013-08-18,73
2013-08-25,72
2013-09-01,76
2013-09-08,73
2013-09-15,72
2013-09-22,71
2013-09-29,70
2013-10-06,70
2013-10-13,70
2013-10-20,70
2013-10-27,67
2013-11-03,68
2013-11-10,70
2013-11-17,66
2013-11-24,56
2013-12-01,60
2013-12-08,59
2013-12-15,54
2013-12-22,56
2013-12-29,89
2014-01-05,100
2014-01-12,87
2014-01-19,80
2014-01-26,77
2014-02-02,77
2014-02-09,71
2014-02-16,78
2014-02-23,79
2014-03-02,78
2014-03-09,75
2014-03-16,78
2014-03-23,76
2014-03-30,77
2014-04-06,76
2014-04-13,76
2014-04-20,79
2014-04-27,77
2014-05-04,75
2014-05-11,75
2014-05-18,73
2014-05-25,69
2014-06-01,72
2014-06-08,71
2014-06-15,71
2014-06-22,70
2014-06-29,66
2014-07-06,72
2014-07-13,69
2014-07-20,67
2014-07-27,70
2014-08-03,68
2014-08-10,68
2014-08-17,67
2014-08-24,65
2014-08-31,67
2014-09-07,65
2014-09-14,68
2014-09-21,63
2014-09-28,66
2014-10-05,61
2014-10-12,64
2014-10-19,61
2014-10-26,62
2014-11-02,62
2014-11-09,63
2014-11-16,61
2014-11-23,53
2014-11-30,60
2014-12-07,56
2014-12-14,52
2014-12-21,48
2014-12-28,73
2015-01-04,89
2015-01-11,85
2015-01-18,76
2015-01-25,68
2015-02-01,71
2015-02-08,67
2015-02-15,70
2015-02-22,69
2015-03-01,72
2015-03-08,70
2015-03-15,72
2015-03-22,71
2015-03-29,68
2015-04-05,75
2015-04-12,72
2015-04-19,74
2015-04-26,71
2015-05-03,70
2015-05-10,70
2015-05-17,67
2015-05-24,68
2015-05-31,70
2015-06-07,69
2015-06-14,68
2015-06-21,65
2015-06-28,64
2015-07-05,66
2015-07-12,66
2015-07-19,66
2015-07-26,66
2015-08-02,68
2015-08-09,66
2015-08-16,66
2015-08-23,64
2015-08-30,62
2015-09-06,63
2015-09-13,64
2015-09-20,62
2015-09-27,60
2015-10-04,60
2015-10-11,60
2015-10-18,60
2015-10-25,59
2015-11-01,62
2015-11-08,57
2015-11-15,54
2015-11-22,50
2015-11-29,55
2015-12-06,54
2015-12-13,50
2015-12-20,47
2015-12-27,66
2016-01-03,88
2016-01-10,73
2016-01-17,72
2016-01-24,72
2016-01-31,70
2016-02-07,65
2016-02-14,66
2016-02-21,71
2016-02-28,69
2016-03-06,70
2016-03-13,69
2016-03-20,68
2016-03-27,69
2016-04-03,70
2016-04-10,70
2016-04-17,69
2016-04-24,67
2016-05-01,67
2016-05-08,68
2016-05-15,68
2016-05-22,67
2016-05-29,66
2016-06-05,66
2016-06-12,61
2016-06-19,60
2016-06-26,60
2016-07-03,62
2016-07-10,62
2016-07-17,62
2016-07-24,62
2016-07-31,64
2016-08-07,67
2016-08-14,63
2016-08-21,63
2016-08-28,63
2016-09-04,64
2016-09-11,63
2016-09-18,61
2016-09-25,59
2016-10-02,58
2016-10-09,56
2016-10-16,58
2016-10-23,55
2016-10-30,56
2016-11-06,54
2016-11-13,58
2016-11-20,50
2016-11-27,58
2016-12-04,52
2016-12-11,48
2016-12-18,46
2016-12-25,58
2017-01-01,83
2017-01-08,80
2017-01-15,73
2017-01-22,75
2017-01-29,81
2017-02-05,85
2017-02-12,76
2017-02-19,79
2017-02-26,76
2017-03-05,74
2017-03-12,73
2017-03-19,74
2017-03-26,71
2017-04-02,70
2017-04-09,69
2017-04-16,69
2017-04-23,71
2017-04-30,72
2017-05-07,70
2017-05-14,70
2017-05-21,68
2017-05-28,69
2017-06-04,69
2017-06-11,64
2017-06-18,68
2017-06-25,69
2017-07-02,71
2017-07-09,74
2017-07-16,72
2017-07-23,70
2017-07-30,73
2017-08-06,70
2017-08-13,65
2017-08-20,63
2017-08-27,63
2017-09-03,65
2017-09-10,62
2017-09-17,63
2017-09-24,63
2017-10-01,63
2017-10-08,64
2017-10-15,64
2017-10-22,65
2017-10-29,61
2017-11-05,63
2017-11-12,62
2017-11-19,53
2017-11-26,59
2017-12-03,58
2017-12-10,55
2017-12-17,51
2017-12-24,59
2017-12-31,90
2018-01-07,88
2018-01-14,80
2018-01-21,78
2018-01-28,78
2018-02-04,78
2018-02-11,71
2018-02-18,74
2018-02-25,74
2018-03-04,75
2018-03-11,75
2018-03-18,79
2018-03-25,85
2018-04-01,85
2018-04-08,83
2018-04-15,80
2018-04-22,79
2018-04-29,82
2018-05-06,80
2018-05-13,77
2018-05-20,73
2018-05-27,76
2018-06-03,76
2018-06-10,74
2018-06-17,71
2018-06-24,72
2018-07-01,74
2018-07-08,76
2018-07-15,76
2018-07-22,80
2018-07-29,76
2018-08-05,75
