Date,Price
2015-09-29,237.77032983
2015-09-30,237.43074752
2015-10-01,238.55
2015-10-02,238.03455037
2015-10-03,240.12
2015-10-04,239.64
2015-10-05,240.17
2015-10-06,246.39338098
2015-10-07,244.18890356
2015-10-08,243.95
2015-10-09,244.43017584
2015-10-10,246.07
2015-10-11,248.64268981
2015-10-12,246.92
2015-10-13,250.09844398
2015-10-14,254.24816993
2015-10-15,254.71215541
2015-10-16,261.91
2015-10-17,271.2357952
2015-10-18,264.70855148
2015-10-19,264.12959824
2015-10-20,269.32041538
2015-10-21,269.43913
2015-10-22,275.26
2015-10-23,277.84182026
2015-10-24,280.88961406
2015-10-25,288.87192947
2015-10-26,286.63371128
2015-10-27,295.59886003
2015-10-28,303.19628001
2015-10-29,316.94621581
2015-10-30,328.13
2015-10-31,313.24945205
2015-11-01,327.96445206
2015-11-02,366.05043846
2015-11-03,402.87429495
2015-11-04,392.20559397
2015-11-05,391.09938349
2015-11-06,375.63993930000004
2015-11-07,386.72161208
2015-11-08,374.52965646
2015-11-09,381.87699408
2015-11-10,329.76671465
2015-11-11,308.89130137
2015-11-12,333.80502289
2015-11-13,338.23669343
2015-11-14,339.25228898
2015-11-15,323.03518317
2015-11-16,330.91
2015-11-17,337.69983933
2015-11-18,336.9277462
2015-11-19,326.99494669
2015-11-20,321.807041
2015-11-21,325.18
2015-11-22,324.02837928
2015-11-23,323.02270741
2015-11-24,320.54962436
2015-11-25,327.98754935
2015-11-26,351.20297283
2015-11-27,359.0294647
2015-11-28,355.1355098
2015-11-29,373.24
2015-11-30,377.07648323
2015-12-01,363.15593089
2015-12-02,359.76090644
2015-12-03,361.60001626
2015-12-04,362.6561135
2015-12-05,389.99964198
2015-12-06,393.45
2015-12-07,395.35
2015-12-08,395.33795609
2015-12-09,417.24056166
2015-12-10,415.64
2015-12-11,448.15244031
2015-12-12,432.89566110000004
2015-12-13,435.7557335
2015-12-14,442.47071515
2015-12-15,463.09809193
2015-12-16,453.63
2015-12-17,454.91430037
2015-12-18,463.39528854
2015-12-19,460.64349208
2015-12-20,441.98
2015-12-21,433.24581179
2015-12-22,434.27
2015-12-23,442.94437376
2015-12-24,455.71478997
2015-12-25,456.14
2015-12-26,418.14052145
2015-12-27,426.0
2015-12-28,421.33602559
