date,number_in_employment
1961-01-01,239.6
1961-02-01,236.4
1961-03-01,236.8
1961-04-01,241.5
1961-05-01,243.7
1961-06-01,246.1
1961-07-01,244.1
1961-08-01,244.2
1961-09-01,244.8
1961-10-01,246.6
1961-11-01,250.9
1961-12-01,261.4
1962-01-01,237.6
1962-02-01,235.7
1962-03-01,236.1
1962-04-01,242.6
1962-05-01,244.5
1962-06-01,246.6
1962-07-01,245.7
1962-08-01,247.7
1962-09-01,248.9
1962-10-01,251.4
1962-11-01,255.9
1962-12-01,263.7
1963-01-01,242.2
1963-02-01,239.3
1963-03-01,239.7
1963-04-01,247.2
1963-05-01,249.3
1963-06-01,252.3
1963-07-01,252.8
1963-08-01,253.6
1963-09-01,254.2
1963-10-01,256.1
1963-11-01,260.3
1963-12-01,268.8
1964-01-01,250.1
1964-02-01,247.9
1964-03-01,249.0
1964-04-01,253.8
1964-05-01,258.3
1964-06-01,261.3
1964-07-01,261.3
1964-08-01,261.9
1964-09-01,263.3
1964-10-01,267.3
1964-11-01,270.6
1964-12-01,281.5
1965-01-01,261.9
1965-02-01,258.6
1965-03-01,259.7
1965-04-01,266.0
1965-05-01,271.1
1965-06-01,274.4
1965-07-01,274.0
1965-08-01,273.8
1965-09-01,274.9
1965-10-01,280.0
1965-11-01,285.4
1965-12-01,295.9
1966-01-01,275.4
1966-02-01,273.6
1966-03-01,275.9
1966-04-01,281.1
1966-05-01,285.2
1966-06-01,289.1
1966-07-01,289.2
1966-08-01,288.9
1966-09-01,291.1
1966-10-01,295.3
1966-11-01,300.2
1966-12-01,310.9
1967-01-01,286.9
1967-02-01,283.0
1967-03-01,286.2
1967-04-01,291.5
1967-05-01,295.4
1967-06-01,299.7
1967-07-01,297.9
1967-08-01,298.1
1967-09-01,300.2
1967-10-01,304.8
1967-11-01,311.9
1967-12-01,320.9
1968-01-01,298.3
1968-02-01,295.5
1968-03-01,297.2
1968-04-01,302.7
1968-05-01,306.7
1968-06-01,309.1
1968-07-01,308.7
1968-08-01,309.9
1968-09-01,310.8
1968-10-01,314.7
1968-11-01,321.2
1968-12-01,329.0
1969-01-01,307.6
1969-02-01,305.5
1969-03-01,308.0
1969-04-01,314.4
1969-05-01,320.5
1969-06-01,323.4
1969-07-01,323.0
1969-08-01,324.4
1969-09-01,326.1
1969-10-01,329.3
1969-11-01,335.0
1969-12-01,341.9
1970-01-01,321.8
1970-02-01,317.3
1970-03-01,318.6
1970-04-01,323.4
1970-05-01,327.1
1970-06-01,327.9
1970-07-01,325.3
1970-08-01,325.7
1970-09-01,330.0
1970-10-01,333.5
1970-11-01,337.1
1970-12-01,341.3
1971-01-01,321.6
1971-02-01,318.2
1971-03-01,319.6
1971-04-01,326.2
1971-05-01,332.3
1971-06-01,334.2
1971-07-01,334.5
1971-08-01,335.5
1971-09-01,335.1
1971-10-01,338.2
1971-11-01,341.9
1971-12-01,347.9
1972-01-01,329.5
1972-02-01,326.4
1972-03-01,329.1
1972-04-01,337.2
1972-05-01,344.9
1972-06-01,349.6
1972-07-01,351.0
1972-08-01,353.8
1972-09-01,354.5
1972-10-01,357.4
1972-11-01,362.1
1972-12-01,367.5
1973-01-01,347.9
1973-02-01,345.0
1973-03-01,348.9
1973-04-01,355.3
1973-05-01,362.4
1973-06-01,366.6
1973-07-01,366.0
1973-08-01,370.2
1973-09-01,370.9
